splunk-add-on-for-squid-proxy,Splunk_TA_squid,internal,"Splunk Add-on for Squid Proxy",master
splunk-add-on-for-symantec-blue-coat-proxysg,Splunk_TA_bluecoat-proxysg,internal,"Splunk Add-on for Blue Coat ProxySG",develop
splunk-add-on-for-symantec-dlp,Splunk_TA_symantec-dlp,internal,"Splunk Add-on for Symantec DLP",develop
splunk-add-on-for-symantec-endpoint-protection,Splunk_TA_symantec-ep,internal,"Splunk Add-on for Symantec Endpoint Protection",develop
splunk-add-on-for-tomcat,Splunk_TA_tomcat,internal,"Splunk Add-on for Tomcat",develop
splunk-add-on-for-unix-and-linux,Splunk_TA_nix,internal,"Splunk Add-on for Unix and Linux",master
splunk-add-on-for-websense-dlp,Splunk_TA_websense-dlp,internal,"Splunk Add-on for Websense DLP",develop
splunk-add-on-for-zeek-aka-bro,Splunk_TA_bro,internal,"Splunk Add-on for Zeek aka Bro",develop
splunk-add-on-for-rsa-securid-cas,Splunk_TA_rsa_securid_cas,internal,"Splunk Add-on for RSA SecurID CAS",develop
splunk-add-on-for-splunk-global-monitoring-console,Splunk_TA_splunk_global_monitoring_console,public,"Splunk Add-on for Splunk Global Monitoring Console",develop
splunk-add-on-for-zoom,Splunk_TA_zoom,internal,"Splunk Add-on for Zoom",develop
splunk-add-on-for-google-gsuite,Splunk_TA_google-gsuite,internal,"Splunk Add-on for G Suite",develop
splunk-add-on-for-cef,TA-cef-for-splunk,public,"TA CEF for Splunk",develop
splunk-add-on-for-mcafee-nsp,Splunk_TA_mcafee_nsp,internal,"Splunk Add-on for McAfee NSP",develop
splunk-add-on-for-ucc-example,Splunk_TA_UCCExample,public,"Splunk_TA_UCCExample",develop
seckit_sa_geolocation,SecKit_SA_geolocation,public,"SecKit Geolocation with Maxmind",develop
splunk-add-on-for-modinput-test,Splunk_TA_Modinput_Test,internal,"Splunk Add-on for Modinput Test",develop

